Category,,Name + Quantity (If x>1),,,Price,Source,Purpose
AIRFRAME STRUCTURE,,Body Tubing 54mm (3),,,$85.02,https://www.apogeerockets.com/Building_Supplies/Body_Tubes/Low_Power_Tubes/74mm_x_18_Body_Tube_Thin_Wall_3_tube,Main Airframe Structure Material
,,54 mm Nose Cone,,,Self-Supplied,N/A,Main Nose Cone Structure; Designed to Optimize flight
,,Tube Coupler (2),,,$18.16,https://www.aliexpress.us/item/3256807269624741.html?spm=a2g0o.productlist.main.4.404c7b27MXKw4o&algo_pvid=be048c30-1177-4b8b-a938-9543cc2e0fee&algo_exp_id=be048c30-1177-4b8b-a938-9543cc2e0fee-3&pdp_ext_f=%7B%22order%22%3A%2254%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.08%213.08%21%21%219.08%213.08%21%4021030a6217666385415983151e18bb%2112000040830151315%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac46b06dd%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=4Ipv34A52jEt&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007455939493%7C_p_origin_prod%3A&_gl=1*4852f*_gcl_aw*R0NMLjE3NjYxOTU3MDYuQ2owS0NRaUFqSlRLQmhDakFSSXNBSU1DNDQtXzZwLVhsMkFvZnd0cnAtQnFDREdXOV9YdWdJOG9yT2ZDRWxRNl9LSk1wQ3JYUkVtbHkySWFBcExwRUFMd193Y0I.*_gcl_au*MzE0NzU3OTc5LjE3NjYxOTQ3MTE.*_ga*MTI2ODA3NDgwMi4xNzY2MTk1NzI0*_ga_VED1YSGNC7*czE3NjY2Mzg1NDckbzIkZzAkdDE3NjY2Mzg1NDckajYwJGwwJGgw,Holds each set of Tubing
BULKHEADS + STRUCTURE,,Plywood (5),,,$12.99,https://www.aliexpress.us/item/3256809274243509.html?spm=a2g0o.productlist.main.2.62cf1643JM3NNX&algo_pvid=4bb536e8-f9a3-4add-b959-b597787b23fb&algo_exp_id=4bb536e8-f9a3-4add-b959-b597787b23fb-1&pdp_ext_f=%7B%22order%22%3A%22984%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005009460558261%22%2C%22orig_item_id%22%3A%221005008749726871%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2130.77%210.99%21%21%21214.40%216.85%21%402101d6fe17666365903732178e1924%2112000049174657268%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa03e0185%3Bm03_new_user%3A-29895%3BpisId%3A5000000195494394&curPageLogUid=zhC8z0bf77f2&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009460558261%7C_p_origin_prod%3A1005008749726871,Used for Bulkheads on Aircraft
,,M6 Lock Nuts + Washers ,,,$2.83,https://www.aliexpress.us/item/3256809161314826.html?spm=a2g0o.productlist.main.1.1b07d4a2OjyIJF&algo_pvid=db5791a1-ff7a-41ef-8e9b-4f4440d44060&algo_exp_id=db5791a1-ff7a-41ef-8e9b-4f4440d44060-0&pdp_ext_f=%7B%22order%22%3A%22601%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.25%211.04%21%21%211.25%211.04%21%40210311cc17666386009794424e1993%2112000048827058422%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa03e0185%3Bm03_new_user%3A-29895&curPageLogUid=inrKVWeZSlzr&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009347629578%7C_p_origin_prod%3A,Lock in Bulkhead Material
,,M6 Threaded Rod,,,$3.88,https://www.aliexpress.us/item/3256807982410128.html?spm=a2g0o.productlist.main.1.7f11fb8asJ87WX&algo_pvid=e2da02a2-4243-4c37-a14f-581d03d139c1&algo_exp_id=e2da02a2-4243-4c37-a14f-581d03d139c1-0&pdp_ext_f=%7B%22order%22%3A%222509%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.82%210.99%21%21%2119.64%216.88%21%402103110517666386451223690e17de%2112000044073830284%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa03e0185%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=AIl2ldOyU6ax&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008168724880%7C_p_origin_prod%3A,Avionics Bay Structure
FINS,,Plywood Fins,,,$4.94,https://www.aliexpress.us/item/3256809539089741.html?spm=a2g0o.productlist.main.2.679bmV74mV74GJ&algo_pvid=b069cb65-d940-4394-9e01-60e8a1a71d6d&algo_exp_id=b069cb65-d940-4394-9e01-60e8a1a71d6d-1&pdp_ext_f=%7B%22order%22%3A%2293%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.07%210.99%21%21%2163.18%216.85%21%402101f70717666365311774727e1ead%2112000049961325379%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa03e0185%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=zzzAB1I2uzKi&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009725404493%7C_p_origin_prod%3A,Main Fin Structure; Designed to Optimize flight
ELECTRONICS,,Estes 2246 Altimeter,,,$38.99,https://www.elexp.com/products/digital-altimeter?utm,Main Flight Controller/Altimeter
,,51 single-chip GPS Tracker Module ,,,$5.99,https://www.aliexpress.us/item/3256806531779498.html?pdp_npi=4%40dis%21USD%215.99%215.99%21%21%21%21%21%40%2112000038082823134%21ppc%21%21%21,Find Rocket
POWER + WIRING,,LiPo 3.7 V Battery,,,$10.99,https://www.etsy.com/listing/1037705760/lipo-drone-battery-37v-1100mah-25c-for?gao=1&gpla=1,Power Rocketry Electronics
,,Power Switch + JST Cable,,,Self-Supplied,N/A,Control Rocket Electronics
,,Wiring Kit,,,$2.52,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.5.2df646bfqjQvU8&productIds=1005005336957133:12000032659479346&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005336957133%7C_p_origin_prod%3A&pvid=5548658c-72fe-4d54-92f1-974fc9b08e43&_gl=1*1ldxall*_gcl_aw*R0NMLjE3NjYxOTU3MDYuQ2owS0NRaUFqSlRLQmhDakFSSXNBSU1DNDQtXzZwLVhsMkFvZnd0cnAtQnFDREdXOV9YdWdJOG9yT2ZDRWxRNl9LSk1wQ3JYUkVtbHkySWFBcExwRUFMd193Y0I.*_gcl_au*MzE0NzU3OTc5LjE3NjYxOTQ3MTE.*_ga*MTI2ODA3NDgwMi4xNzY2MTk1NzI0*_ga_VED1YSGNC7*czE3NjY2Mzg1NDckbzIkZzEkdDE3NjY2Mzg5MzUkajI5JGwwJGgw,Optimize Organization within Rocket
RECOVERY,,Pro Series IIâ„¢ 24 inch Nylon Parachute (2),,,$30,https://b2b.estesrockets.com/es/products/pro-series-ii-24-inch-nylon-parachute?,Parachutes; Optimize Landing
,,M6 Bolts ,,,Self-Supplied,N/A,Parachute/Shock Cord Attachment
,,Shock Cord (4mm),,,$2.69,https://www.aliexpress.us/item/2251832695962372.html?pdp_npi=4%40dis%21USD%212.06%212.06%21%21%21%21%21%40%2165707176711%21ppc%21%21%21,Attaches all Recovery Stages
MOTORS,,Aerotech 54mm HP SU DMS Motor - I65W-P,,,Self Supplied,https://www.apogeerockets.com/Rocket-Motors/AeroTech-Motors/54mm-Motors-Single-Use/Aerotech-54mm-HP-SU-DMS-Motor-I65W-P?cPath=7_267&,"Powers all of Lift in Rocket, Engine of Rocket"
LAUNCH,,Launch Lug Set,,,Self-Supplied,N/A,Stable Liftoff
,,Launch Rod + Controller,,,$12,https://www.aliexpress.com/item/1005003899674171.htm,Controls Rocket Launch
FINISH,,High Strength Epoxy Glue,,,$14.06,https://www.aliexpress.us/item/3256804837032008.html?pdp_npi=4%40dis%21USD%2110.37%219.44%21%21%21%21%21%40%2112000039789036485%21ppc%21%21%21,Adhesive for Support for Rocket
SUPPORT,,1 Kg Filament,,,Self Supplied,https://us.elegoo.com/products/pla-filament-1-75mm-colored-1kg?variant=gid://shopify/ProductVariant/43734133670069&gad_source=1&gad_campaignid=22917581495&gbraid=0AAAAACVnSvrL2VcrKRJ6cwzTC4psv99J6&gclid=CjwKCAiAu67KBhAkEiwAY0jAlSdzf6eO6xwpX-I-Nr0ckyq7BSeSuHZ8NwF8LU7C1cVsDbBp7kv9XhoCogAQAvD_BwE,"Used for support parts within rocket (Fin Fillets, Mounts)"
"TOTAL 
(excluding tax and shipping)",,$245.06,,,,,
,,,,,,,
,,,,,,,
Tax and Shipping for all sites,,$79.12,,,,,
FULL TOTAL,,$324.18,,,,,
,,,,,,,
Grant Total: $324.18,,,,,,,